replicon_primary,n_PSC,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
IncU,113,0.0000,0.0000,0.0944,0.8000,0.5000,0.5961,0.0000,0.0000,0.0000,0.0000
IncFIA/IncFIB(pB171),107,0.0000,0.0000,0.0836,0.7600,0.9000,0.6804,0.2900,0.0000,0.0000,0.0000
rep26,106,0.0000,0.0000,0.0952,0.4800,0.3000,0.6306,0.3300,0.0000,0.0833,0.2240
repUS5,99,0.0000,0.0000,0.0791,0.8000,0.3000,0.6604,0.0000,0.0000,0.0000,0.0000
IncL/M(pOXA-48),98,0.0000,0.0000,0.1082,0.8000,0.9000,0.6731,0.0000,0.0000,0.0000,0.0000
IncL/M(pMU407),96,0.6913,0.0000,0.1225,0.8000,0.9000,0.6403,0.0000,0.0000,0.0833,0.1402
rep5d,95,0.0000,0.0000,0.4200,0.5200,0.3000,0.5899,0.0000,0.0000,0.0000,0.0000
rep32,95,0.0000,0.0000,0.4200,0.4800,0.3000,0.6156,0.0000,0.0000,0.0000,0.0000
IncHI1B(CIT)/p0111,94,0.0000,0.0000,0.1018,0.7600,0.9000,0.6399,0.0000,0.2277,0.0833,0.1402
IncFIB(pLF82),93,0.0000,0.0000,0.0700,0.7600,0.9000,0.6593,0.0000,0.2277,0.0833,0.2240
FII(pBK30683),91,0.0000,0.0000,0.1043,0.8000,0.3000,0.6527,0.0000,0.0000,0.0000,0.0000
rep5c,89,0.0000,0.0000,0.4200,0.8000,0.3000,0.5967,0.0000,0.0000,0.0000,0.0000
IncP1,89,0.0000,0.0000,0.0795,0.7600,0.9000,0.6528,0.2900,0.0000,0.0833,0.0000
IncX3(pEC14),85,0.0000,0.0000,0.4200,0.7200,0.9000,0.6923,0.3300,0.0000,0.0000,0.0000
IncFIB(AP001918)/IncFII,84,0.0000,0.0000,0.2232,0.7600,0.9000,0.6339,0.0000,0.3608,0.1667,0.2843
rep14b,80,0.0000,0.0000,0.0700,0.8000,0.3000,0.5276,0.0000,0.0000,0.0000,0.0000
repUS22,79,0.4362,0.0000,0.0883,0.8000,0.3000,0.5271,0.0000,0.0000,0.0000,0.0000
repUS60,79,0.0000,0.0000,0.0700,0.5200,0.3000,0.5715,0.0000,0.0000,0.0000,0.0000
IncX5,79,0.0000,0.0000,0.4247,0.7600,0.3000,0.6683,0.3300,0.0000,0.0833,0.0000
IncFIA(HI1)/IncFIB(K),77,0.0000,0.0000,0.4840,0.7600,0.9000,0.6189,0.0000,0.2277,0.0833,0.1402
IncFII(pAMA1167-NDM-5),76,0.0000,0.0000,0.4296,0.7600,0.9000,0.6367,0.0000,0.0000,0.0000,0.0000
IncN3,76,0.0000,0.0000,0.5950,0.8000,0.9000,0.6609,0.0000,0.0000,0.0000,0.0000
IncFII(SARC14)/IncFII(Yp),75,0.0000,0.0000,0.5950,0.7200,0.9000,0.6601,0.0000,0.0000,0.0000,0.0000
rep11a/rep18b,73,0.0000,0.0000,0.4200,0.8000,0.3000,0.6167,0.0000,0.0000,0.0000,0.1402
rep19b,71,0.0000,0.0000,0.0929,0.5200,0.3000,0.6357,0.3300,0.0000,0.0000,0.0000
IncFII(S)/IncFII(SARC14),71,0.0000,0.0000,0.6106,0.7400,0.9000,0.6633,0.2900,0.0000,0.0000,0.0000
IncFIB(AP001918)/IncFII(pRSB107),67,0.0000,0.0000,0.0971,0.7600,0.9000,0.6434,0.0000,0.0000,0.0000,0.0000
repUS73,64,0.0000,0.0000,0.4391,0.4800,0.3000,0.6386,0.0000,0.0000,0.0000,0.0000
repUS7,64,0.0000,0.0000,0.0803,0.8000,0.3000,0.6512,0.0000,0.1138,0.0000,0.1402
IncFII(pHN7A8)/IncFII(pRSB107),64,0.0000,0.0000,0.1253,0.7600,0.9000,0.6021,0.0000,0.0000,0.0417,0.1402
rep3,60,0.0000,0.0000,0.0777,0.4800,0.3000,0.6446,0.0000,0.0000,0.0000,0.0000
Col(MGD2),58,0.0000,0.0000,0.4200,0.8000,0.3000,0.5698,0.0000,0.0000,0.0000,0.0000
IncFII(p96A),57,0.0000,0.0000,0.0700,0.7400,0.9000,0.6406,0.0000,0.0000,0.0833,0.0000
repUS9,56,0.0000,0.0000,0.0863,0.5200,0.3000,0.6527,0.4450,0.0000,0.0000,0.0000
rep20/rep22/rep5a/repUS22,56,0.4362,0.0000,0.4413,0.8000,0.3000,0.6840,0.4100,0.0000,0.0000,0.0000
IncHI1A,55,0.0000,0.0000,0.0748,0.7400,0.9000,0.6629,0.0000,0.0000,0.0000,0.0000
rep6,54,0.0000,0.0000,0.4200,0.5200,0.3000,0.5683,0.0000,0.0000,0.0000,0.0000
repUS35,54,0.0000,0.0000,0.0852,0.5200,0.3000,0.6109,0.2900,0.2277,0.0000,0.1402
Col(KPHS6),53,0.0000,0.0000,0.0700,0.7600,0.3000,0.4762,0.0000,0.0000,0.0000,0.0000
IncQ2,52,0.8060,0.0000,0.0700,0.7600,0.5000,0.5924,0.0000,0.0000,0.0000,0.1402
Rep,52,0.0000,0.0000,0.4200,0.7600,0.3000,0.5495,0.0000,0.0000,0.0000,0.0000
rep16/repUS76,52,0.0000,0.0000,0.0983,0.8000,0.3000,0.6464,0.4300,0.0000,0.0000,0.0000
repUS33,48,0.0000,0.0000,0.1239,0.4800,0.3000,0.6072,0.0000,0.2277,0.0833,0.1402
