id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
185,,0.000000,0.330000,0.074712,0.540000,0.300000,0.794870,0.000000,0.227670,0.083333,0.140165
186,,0.000000,0.720000,0.616553,0.840000,0.300000,0.746294,0.290000,0.000000,0.000000,0.000000
187,,0.000000,0.720000,0.619108,0.840000,0.300000,0.744634,0.290000,0.000000,0.000000,0.000000
188,,0.872303,0.570000,0.595000,0.840000,0.300000,0.728737,0.000000,0.889483,0.750000,0.875243
189,,0.691284,0.690000,0.714295,0.820000,0.300000,0.733318,0.000000,0.588519,0.416667,0.634754
190,,0.000000,0.720000,0.619287,0.840000,0.300000,0.749456,0.290000,0.000000,0.000000,0.000000
191,,0.000000,0.720000,0.614867,0.840000,0.300000,0.745376,0.290000,0.000000,0.000000,0.000000
192,,0.000000,0.720000,0.603165,0.840000,0.300000,0.743581,0.290000,0.588519,0.250000,0.555173
193,,0.000000,0.330000,0.073800,0.780000,0.300000,0.748332,0.000000,0.787610,0.583333,0.645774
194,,0.000000,0.720000,0.616540,0.840000,0.300000,0.746333,0.290000,0.000000,0.000000,0.000000
195,,0.872303,0.840000,0.596876,0.920000,0.300000,0.749178,0.290000,1.000000,1.000000,1.000000
196,,0.000000,0.480000,0.071926,0.780000,0.300000,0.747451,0.290000,0.588519,0.250000,0.432461
197,,0.000000,0.720000,0.614868,0.840000,0.300000,0.745373,0.290000,0.000000,0.000000,0.000000
198,,0.000000,0.720000,0.616844,0.840000,0.300000,0.745406,0.290000,0.000000,0.000000,0.000000
199,,0.000000,0.480000,0.080866,0.540000,0.300000,0.724611,0.000000,0.000000,0.000000,0.000000
200,,0.000000,0.480000,0.427627,0.540000,0.300000,0.702099,0.410000,0.455340,0.333333,0.000000
201,,1.000000,0.000000,0.168802,0.800000,0.300000,0.773052,0.750000,0.528634,0.416667,0.458090
202,,0.000000,0.480000,0.092944,0.740000,0.300000,0.721011,0.600000,0.000000,0.000000,0.000000
203,,0.872303,0.480000,0.099758,0.780000,0.300000,0.753775,0.750000,0.227670,0.083333,0.223984
204,,0.000000,0.000000,0.080741,0.720000,0.300000,0.835427,0.750000,0.000000,0.000000,0.000000
205,,0.000000,0.000000,0.070000,0.760000,0.300000,0.758598,0.000000,0.360849,0.083333,0.284318
206,,0.691284,0.000000,0.716196,0.720000,0.300000,0.712936,0.560000,0.000000,0.000000,0.000000
207,,0.524094,0.000000,0.070000,0.720000,0.300000,0.729072,0.290000,0.455340,0.166667,0.284318
208,,0.872303,0.480000,0.614682,0.780000,0.300000,0.788591,0.330000,0.000000,0.000000,0.000000
209,,0.000000,0.000000,0.070000,0.800000,0.300000,0.571702,0.000000,0.588519,0.250000,0.555173
210,,0.000000,0.000000,0.070000,0.800000,0.300000,0.572110,0.000000,0.588519,0.333333,0.284318
211,,0.000000,0.000000,0.070000,0.800000,0.300000,0.572468,0.000000,0.721698,0.500000,0.481077
212,,0.000000,0.000000,0.070000,0.800000,0.300000,0.571726,0.000000,0.721698,0.416667,0.570481
213,,0.000000,0.000000,0.131881,0.720000,0.300000,0.517173,0.000000,0.000000,0.000000,0.000000
214,,0.000000,0.000000,0.070000,0.760000,0.300000,0.534790,0.000000,0.455340,0.500000,0.481077
215,,0.436151,0.000000,0.073409,0.760000,0.300000,0.709546,0.290000,0.360849,0.166667,0.140165
216,,0.436151,0.000000,0.672300,0.720000,0.300000,0.548408,0.290000,0.000000,0.000000,0.000000
217,,0.691284,0.000000,0.598280,0.760000,0.300000,0.712108,0.290000,0.360849,0.083333,0.223984
218,,0.436151,0.000000,0.601812,0.760000,0.300000,0.709597,0.290000,0.360849,0.250000,0.223984
219,,0.691284,0.000000,0.601166,0.760000,0.300000,0.716214,0.290000,0.360849,0.333333,0.458090
220,,0.436151,0.000000,0.604932,0.760000,0.300000,0.711483,0.290000,0.227670,0.083333,0.284318
221,,0.436151,0.000000,0.600777,0.760000,0.300000,0.720541,0.290000,0.455340,0.250000,0.403640
222,,0.691284,0.000000,0.598253,0.760000,0.300000,0.712652,0.290000,0.721698,0.583333,0.675941
223,,0.000000,0.000000,0.078541,0.760000,0.300000,0.648595,0.000000,0.455340,0.250000,0.331538
224,,0.000000,0.000000,0.070000,0.760000,0.300000,0.703424,0.290000,0.000000,0.000000,0.000000
225,,0.436151,0.000000,0.598364,0.760000,0.300000,0.710420,0.290000,0.528634,0.250000,0.555173
226,,0.436151,0.000000,0.600841,0.760000,0.300000,0.719805,0.290000,0.455340,0.250000,0.331538
227,,0.691284,0.000000,0.598446,0.760000,0.300000,0.708832,0.290000,0.528634,0.500000,0.623236
228,,0.691284,0.000000,0.598233,0.760000,0.300000,0.713058,0.290000,0.227670,0.083333,0.000000
229,,0.000000,0.330000,0.108551,0.820000,0.300000,0.707708,0.000000,0.455340,0.250000,0.331538
230,,0.000000,0.000000,0.720000,0.720000,0.300000,0.500764,0.290000,0.455340,0.166667,0.331538
231,,0.872303,0.000000,0.679045,0.800000,0.300000,0.744720,0.900000,0.455340,0.333333,0.403640
232,,0.000000,0.000000,0.596690,0.760000,0.300000,0.756123,0.290000,0.360849,0.166667,0.284318
233,,0.000000,0.000000,0.599887,0.760000,0.300000,0.731641,0.000000,0.227670,0.083333,0.140165
234,,0.000000,0.000000,0.668131,0.800000,0.300000,0.651901,0.290000,0.455340,0.250000,0.331538
235,,0.000000,0.000000,0.600518,0.760000,0.300000,0.750495,0.290000,0.227670,0.083333,0.140165
236,,0.000000,0.000000,0.607694,0.720000,0.300000,0.729103,0.000000,0.000000,0.000000,0.000000
237,,0.000000,0.000000,0.447692,0.720000,0.300000,0.723337,0.000000,0.000000,0.000000,0.000000
238,,0.000000,0.000000,0.598917,0.760000,0.300000,0.746325,0.000000,0.227670,0.083333,0.140165
239,,0.000000,0.000000,0.617452,0.720000,0.300000,0.737257,0.330000,0.227670,0.083333,0.000000
240,,0.000000,0.000000,0.612939,0.760000,0.300000,0.752149,0.000000,0.000000,0.000000,0.331538
241,,0.000000,0.330000,0.601878,0.780000,0.300000,0.781868,0.370000,0.588519,0.416667,0.549788
242,,0.000000,0.000000,0.601589,0.720000,0.300000,0.738719,0.000000,0.000000,0.000000,0.000000
243,,0.000000,0.330000,0.597065,0.740000,0.300000,0.742813,0.530000,0.000000,0.000000,0.000000
244,,0.000000,0.000000,0.605036,0.720000,0.300000,0.756790,0.290000,0.227670,0.000000,0.000000
245,,0.000000,0.000000,0.619445,0.720000,0.300000,0.731615,0.330000,0.455340,0.083333,0.331538
246,,0.000000,0.000000,0.603403,0.760000,0.300000,0.756482,0.000000,0.227670,0.083333,0.140165
247,,0.000000,0.000000,0.595000,0.760000,0.300000,0.744562,0.290000,0.227670,0.083333,0.223984
248,,0.872303,0.330000,0.624151,0.820000,0.300000,0.769167,0.750000,0.455340,0.166667,0.223984
249,,0.000000,0.000000,0.073455,0.760000,0.300000,0.708646,0.000000,0.000000,0.000000,0.000000
250,,0.000000,0.000000,0.605175,0.800000,0.300000,0.743779,0.330000,0.639151,0.333333,0.501970
251,,0.000000,0.000000,0.597426,0.760000,0.300000,0.732130,0.000000,0.360849,0.250000,0.403640
252,,0.524094,0.000000,0.081663,0.760000,0.300000,0.765915,0.600000,0.528634,0.250000,0.403640
253,,1.000000,0.000000,0.677990,0.800000,0.300000,0.749900,0.900000,0.227670,0.000000,0.223984
254,,0.691284,0.000000,0.081447,0.760000,0.300000,0.767155,0.600000,0.588519,0.250000,0.458090
255,,0.436151,0.000000,0.607365,0.720000,0.300000,0.716036,0.330000,0.000000,0.000000,0.000000
256,,0.806006,0.000000,0.084951,0.760000,0.300000,0.757250,0.600000,0.588519,0.416667,0.481077
257,,0.000000,0.000000,0.677524,0.800000,0.300000,0.721530,0.750000,0.528634,0.416667,0.501970
